epoch,dynamic-TA,dynamic-TCA,dynamic-SA,k-means-TA,k-means-TCA,k-means-SA
1,9.953343701,9.953343701,10.1,53.46589647,53.45478782,98.47
2,15.29660076,15.29660076,10.1,72.22839369,72.21728505,99.06
3,9.764496778,9.742279493,10.1,71.37302822,71.37302822,99.17
4,15.18551433,15.04110198,10.1,74.51677405,74.49455677,99.12
5,11.00866474,10.90868696,10.1,89.86891802,89.80226616,99.29
6,14.27460564,14.24127972,10.1,89.25794268,89.21350811,99.25
7,13.07487225,12.79715619,10.1,85.2143968,85.15885359,99.31
8,11.75294379,11.64185737,10.1,86.46967341,86.42523884,99.23
9,13.05265497,12.84159076,10.1,89.14685625,89.06909576,99.24
10,12.61941791,12.23061542,10.1,86.42523884,86.40302155,99.25
11,12.30837592,11.54187958,10.1,91.94623417,91.91290824,99.36
12,14.50788714,13.58586981,10.1,90.29104643,90.20217729,99.11
13,11.68629194,11.64185737,10.1,93.84581204,93.60142191,99.13
14,11.73072651,10.94201289,10.1,93.15707621,93.04598978,99.28
15,11.56409687,11.26416352,10.1,89.03576983,88.94690069,99.08
16,11.47522773,10.9197956,10.1,92.17951566,91.96845146,99.22
17,11.8862475,11.65296601,10.1,88.61364141,88.49144635,99.12
18,11.95289936,11.20862031,10.1,93.64585648,93.47922684,99.08
19,11.09753388,10.45323261,10.1,96.6562986,96.48966896,99.08
20,11.21972895,10.27549433,10.1,93.99022439,93.93468118,99.04
21,12.14174628,11.5196623,10.1,94.42346145,94.24572317,99.06
22,11.24194623,10.17551655,10.1,91.70184403,91.54632304,99
23,10.27549433,9.675627638,10.1,93.26816263,93.12375028,99.11
24,12.24172406,11.3641413,10.1,95.28993557,95.21217507,99.11
25,11.21972895,9.697844923,10.1,93.54587869,93.35703177,99.22
26,11.78626972,11.09753388,10.1,93.44590091,93.2348367,98.98
27,13.8191513,12.75272162,10.1,86.9917796,86.91401911,98.94
28,13.13041546,11.56409687,10.1,90.81315263,90.71317485,99
29,12.07509442,11.26416352,10.1,94.07909353,93.86802933,99.1
30,12.05287714,11.79737836,10.1,94.73450344,94.56787381,98.85
31,12.0417685,10.95312153,10.1,93.21261942,93.15707621,99.07
32,12.21950678,10.97533881,10.1,96.33414797,96.12308376,99.04
33,13.63030438,13.30815374,10.1,89.40235503,89.29126861,99.05
34,9.908909131,9.264607865,10.1,94.15685403,94.03465896,99.03
35,12.34170184,11.74183515,10.1,92.51277494,92.33503666,99.09
36,9.46456343,9.097978227,10.1,94.74561209,94.51233059,99.07
37,12.63052655,12.10842035,10.1,93.29037992,93.07931571,98.93
38,11.77516108,10.19773384,10.1,95.56765163,95.23439236,98.98
39,11.73072651,10.96423017,10.1,95.14552322,94.70117752,98.93
40,11.23083759,10.6309709,10.1,95.34547878,95.12330593,99
41,11.40857587,10.70873139,10.1,93.90135525,93.63474783,99.09
42,12.67496112,11.19751166,10.1,94.94556765,94.50122195,99.02
43,11.27527216,10.57542768,10.1,95.92312819,95.6120862,99.06
44,11.99733393,11.76405243,10.1,92.65718729,92.36836259,98.93
45,12.65274383,12.09731171,10.1,89.55787603,89.42457232,98.98
46,13.17485003,11.91957343,10.1,95.73428127,95.45656521,98.97
47,11.65296601,10.66429682,10.1,94.76782937,94.52343924,98.92
