Epoch,dynamic-TA,dynamic-TCA,dynamic-SA,k-means-TA,k-means-TCA,k-means-SA
1,0.551210842,0.551210842,0.9837,0.709175739,0.707953788,0.985
2,0.671184181,0.670962008,0.9892,0.747389469,0.746945123,0.9897
3,0.711730727,0.71161964,0.9911,0.87102866,0.870695401,0.9908
4,0.847033992,0.84681182,0.9946,0.902466119,0.902355032,0.9916
5,0.726171962,0.726171962,0.9928,0.909797823,0.909464563,0.9923
6,0.896911797,0.896023106,0.9937,0.839257943,0.839257943,0.9934
7,0.897245057,0.89713397,0.9952,0.932348367,0.931348589,0.9934
8,0.837258387,0.836925128,0.9957,0.928015996,0.927682737,0.9927
9,0.867473895,0.86358587,0.9952,0.939568985,0.938124861,0.9928
10,0.96456343,0.963452566,0.9944,0.869584537,0.869251278,0.9926
11,0.813930238,0.812152855,0.9929,0.94778938,0.945789825,0.9915
12,0.851921795,0.849700067,0.9943,0.904021329,0.903465897,0.9917
13,0.922794935,0.921017552,0.9944,0.917573873,0.916018663,0.9913
14,0.887025106,0.885692068,0.994,0.932903799,0.931792935,0.9912
15,0.92790491,0.926460787,0.9949,0.882914908,0.881359698,0.9923
16,0.935458787,0.932681626,0.995,0.898355921,0.896800711,0.9919
17,0.909353477,0.908131526,0.9932,0.929126861,0.927349478,0.9912
18,0.964452344,0.961675183,0.9933,0.921906243,0.920684292,0.9915
19,0.889802266,0.885469896,0.9955,0.92790491,0.927571651,0.9914
20,0.951566319,0.951121973,0.9947,0.94312375,0.941013108,0.9922
21,0.913685848,0.902243946,0.9939,0.946678516,0.945567652,0.9904
22,0.941346368,0.938013775,0.9947,0.906354144,0.903910242,0.9892
23,0.94778938,0.94501222,0.9942,0.915574317,0.913352588,0.9913
24,0.917684959,0.913574761,0.9934,0.926794046,0.92479449,0.9928
25,0.912908243,0.902355032,0.995,0.928682515,0.924127972,0.9891
26,0.882026216,0.877582759,0.9927,0.936014219,0.933570318,0.9893
27,0.946789602,0.943234837,0.994,0.890024439,0.889135748,0.9911
28,0.957231726,0.954898911,0.9936,0.955676516,0.953343701,0.992
