Epoch,PS-TA,PS-TCA,PS-SA,CNN-TA,CNN-TCA,CNN-SA
1,0.150583009,0.150583009,0.4997,0.162354248,0.018656302,0.544
2,0.287729039,0.282509717,0.5953,0.145252637,0.025763465,0.5657
3,0.280288729,0.277512493,0.6361,0.210327596,0.033092726,0.6364
4,0.384564131,0.382454192,0.7152,0.247084953,0.036424209,0.6861
5,0.41898945,0.417878956,0.7324,0.279067185,0.04008884,0.7378
6,0.517934481,0.511382565,0.7741,0.252970572,0.045974459,0.7358
7,0.430649639,0.4285397,0.7607,0.283064964,0.043642421,0.7315
8,0.443975569,0.440533037,0.7567,0.313048307,0.055413659,0.7666
9,0.498389784,0.4952804,0.7798,0.265186008,0.046751805,0.7436
10,0.555913382,0.549805664,0.8118,0.290949473,0.050527485,0.782
11,0.588784009,0.580677401,0.81,0.30849528,0.062631871,0.7807
12,0.595780122,0.590227651,0.8129,0.33525819,0.056191005,0.7889
13,0.556579678,0.546363132,0.8186,0.360466408,0.06485286,0.7905
14,0.597112715,0.591893393,0.833,0.355691283,0.068739589,0.8062
15,0.604441977,0.600111049,0.8317,0.344142143,0.051082732,0.7912
16,0.635424764,0.622654081,0.8428,0.294392004,0.060188784,0.7934
17,0.621654636,0.611549139,0.8425,0.373681288,0.067073848,0.822
18,0.623098279,0.614991671,0.8418,0.362132149,0.070072182,0.8227
19,0.614214325,0.608883953,0.8446,0.304608551,0.061299278,0.8183
20,0.589561355,0.582565242,0.8246,0.384230983,0.063964464,0.8246
21,0.65530261,0.651304831,0.853,0.398889506,0.074069961,0.8246
22,0.657745697,0.648861744,0.851,0.310938368,0.058411993,0.8115
23,0.58478623,0.581676846,0.835,0.372126596,0.074403109,0.8388
24,0.633981122,0.630316491,0.8487,0.339367018,0.061521377,0.8379
25,0.594780677,0.592004442,0.8368,0.356912826,0.075180455,0.8354
26,0.621543587,0.61898945,0.8454,0.265297057,0.047862299,0.8194
27,0.635313715,0.628206552,0.8476,0.393559134,0.073514714,0.8418
28,0.645308162,0.636757357,0.8512,0.323264853,0.062520822,0.8338
29,0.679400333,0.667073848,0.865,0.338478623,0.070738479,0.829
30,0.68961688,0.684730705,0.8707,0.380677401,0.063853415,0.8305
31,0.663076069,0.658078845,0.8491,0.354802887,0.065630205,0.8528
32,0.700721821,0.690949473,0.8727,0.406662965,0.082287618,0.8383
33,0.666851749,0.665963354,0.8628,0.384008884,0.075846752,0.8457
34,0.699500278,0.696501943,0.867,0.359244864,0.075957801,0.8432
