epoch,PS-TA,PS-TCA,PS-SA,CNN-TA,CNN-TCA,CNN-SA
1,58.06271621,57.91764312,84.14,34.59435331,2.689431983,81.43
2,73.16147751,72.80437451,87.7,43.73395826,5.825242718,88.28
3,75.57192278,75.15902243,89.54,49.22441692,7.711192947,88.61
4,74.77960049,74.29974333,89.61,41.12264256,4.508425399,89.19
5,78.78584979,78.74121192,90.61,45.86541681,8.213369044,89.89
6,77.87077335,77.69222185,89.85,48.16426738,6.450172972,90.66
7,73.60785627,73.20611539,89.87,45.49715434,4.932485214,90.9
8,79.73440464,79.60049102,91.41,50.0167392,8.972212923,91.1
9,82.07789309,81.62035487,91.87,54.06762638,7.766990291,91.87
10,79.54469367,78.88628501,91.7,41.23423725,5.914518469,91.14
11,83.69601607,83.29427519,92.27,51.98080571,8.023658074,91.37
12,80.64948108,80.24774021,91.17,47.89644013,8.213369044,91.95
13,83.85224863,83.19383997,92.27,52.91820109,8.615109921,91.91
14,83.10456422,82.50195291,91.98,44.76062939,5.724807499,92.61
15,84.45485995,83.95268385,92.16,52.13703828,10.66845218,92.16
16,79.1764312,78.79700926,90.03,52.90704162,8.983372391,92.05
17,85.02399286,84.35442473,92.64,56.17676599,9.061488673,92.24
18,82.20064725,81.73194956,92.78,50.67514786,5.099877246,92.72
19,84.70036826,84.3655842,92.48,48.43209463,6.572927129,92.49
20,83.55094298,82.90369378,92.46,51.47862962,10.21091396,92.89
21,84.26514898,83.61789979,92.44,54.50284566,8.62626939,92.42
22,85.72703939,85.28066064,93.01,56.67894208,10.4117844,92.88
23,83.71833501,83.27195625,93,52.49414128,11.22642562,92.81
24,84.55529517,84.17587323,92.74,53.77748019,10.36714652,93.02
25,84.16471376,83.90804598,92.25,53.49849347,13.3467247,92.8
26,85.19138489,84.71152773,93.18,57.01372615,8.380761076,93.2
27,85.90559089,85.55964736,93.03,59.13402522,12.33121303,93.08
28,85.67124205,85.21370383,92.84,51.38935387,10.86932262,93.2
29,84.81196295,84.41022207,92.81,51.76877581,7.923222855,92.73
30,84.33210579,83.93036491,93.04,57.95112153,11.76208012,93.22
31,85.32529852,84.89007923,93.17,54.62559982,8.804820891,93.05
32,85.45921214,85.10210914,93.32,48.36513782,8.023658074,93.19
33,85.39225533,84.66688986,93.09,48.30934048,7.577279322,92.65
34,85.70472046,85.18022542,93.06,51.40051334,10.51221962,93.54
35,84.58877357,84.26514898,92.43,59.26793885,13.09005691,93.23
36,84.87891976,84.42138154,93.28,51.13268608,7.845106573,93.22
37,85.2583417,84.58877357,92.88,56.26604174,11.55005022,93.1
38,85.51500949,84.81196295,92.67,49.43644683,8.447717889,93.62
39,86.13993974,85.55964736,93.2,54.07878585,10.01004352,93.04
40,84.84544136,84.52181676,92.82,57.67213481,11.13714987,93.27
41,85.82747461,85.36993639,93.04,58.44213815,8.827139828,93.22
42,85.29182011,84.57761411,92.79,56.22140386,12.47628613,93
43,84.47717889,83.66253766,92.82,56.28836067,13.46947885,93.08
44,85.68240152,85.00167392,92.97,51.43399174,12.21961835,93.43
45,84.74500614,83.8634081,93.21,52.76196853,9.686418926,93.43
46,85.6154447,84.9012387,93.18,55.37328423,13.35788416,93.53
47,85.95022877,85.26950117,93.08,51.27775918,12.61019975,93.23
48,85.18022542,84.44370048,93,53.28646356,10.98091731,93.36
49,86.10646133,85.2248633,93.12,53.79979913,9.418591675,93.31
50,86.4747238,85.68240152,93.4,55.67458989,11.07019306,93.58
51,86.38544805,85.82747461,93.3,51.9138489,9.630621582,93.3
52,85.35877692,84.52181676,92.79,55.77502511,13.00078116,93.3
53,86.16225868,85.26950117,93.05,55.67458989,10.64613324,93.51
54,85.92790983,85.01283339,93.18,53.54313135,9.284678049,93.18
55,85.80515567,84.97935498,93.04,49.99442027,8.001339136,93.23
56,86.57515902,85.74935833,93.28,58.15199197,10.7688874,92.9
57,85.31413905,84.46601942,92.93,56.05401183,12.6994755,93.23
58,86.28501283,85.21370383,93.2,55.48487892,13.7038277,92.77
59,83.12688316,82.30108247,92.18,53.69936391,9.965405647,93.02
60,86.6197969,85.70472046,93.58,56.00937395,14.61890414,93.33
61,86.46356433,85.4368932,93.19,54.32429416,10.12163821,93.21
62,86.21805602,85.30297958,93.62,55.60763308,12.15266153,93.45
63,86.06182346,85.14674701,93.4,56.37763642,11.59468809,93.35
64,86.49704274,85.31413905,93.46,57.6386564,10.66845218,93.47
65,85.98370718,84.82312242,93.32,49.94978239,10.92511996,93.36
66,85.55964736,84.1870327,93.2,53.37573931,11.13714987,93.44
67,86.34081018,85.02399286,93.49,54.8487892,6.996986943,93.2
68,85.44805267,84.48833836,92.96,53.47617453,13.16817319,93.05
69,85.4034148,84.45485995,92.83,54.21269948,11.84019641,93.18
70,85.95022877,85.0463118,93.2,52.52761969,10.85816315,92.94
71,84.26514898,83.08224529,92.65,48.73340029,7.331771008,93.52
72,85.34761745,84.25398951,92.8,58.96663319,14.08324964,93.81
73,86.63095637,85.41457427,93.1,52.01428412,9.65294052,93.49
74,85.5819663,83.70717554,92.91,58.94431425,13.79310345,93.21
75,85.4368932,83.93036491,92.81,53.23066622,9.507867426,93.42
76,85.0797902,83.80761076,92.9,58.04039728,11.85135588,93.57
77,84.89007923,83.56210244,93.05,57.97344046,10.82468475,93.29
78,84.81196295,83.79645129,92.72,56.26604174,11.90715322,93.58
79,86.35196965,84.93471711,93.25,50.67514786,7.30945207,93.01
80,85.70472046,84.46601942,93.27,49.4810847,9.3739538,93.38
81,85.05747126,83.53978351,93.1,50.3403638,10.0881598,92.93
82,85.91675036,84.99051445,92.99,51.90268943,11.78439906,93.37
83,85.15790648,83.62905926,92.84,51.51210802,9.452070081,93.32
84,86.66443477,85.42573374,93.54,53.52081241,10.31134918,93.53
85,85.69356099,84.66688986,93.32,54.38009151,11.4830934,93.24
86,86.46356433,85.12442808,93.41,53.05211472,8.849458766,93.41
87,84.56645464,83.02644794,92.84,52.22631403,10.36714652,93.08
88,86.12878027,84.82312242,93.24,52.78428747,9.954246178,93.15
89,85.67124205,84.19819217,92.97,51.85805156,6.584086597,93.09
90,86.16225868,84.53297623,92.98,50.1618123,9.452070081,93.34
91,85.89443143,84.30978685,93.44,56.54502846,11.89599375,93.58
92,86.00602611,84.68920879,92.92,57.39314809,11.77323959,93.48
93,84.94587658,83.66253766,92.8,56.37763642,12.25309675,93.34
94,86.02834505,84.5441357,93.47,46.512666,7.744671354,93.28
