Epoch,PS-TA,PS-TCA,PS-SA,CNN-TA,CNN-TCA,CNN-SA
1,0.065171982,0.065171982,0.246375,0.077426542,0.004316948,0.307875
2,0.055284779,0.055284779,0.245625,0.087313745,0.014482663,0.3415
3,0.068931904,0.068931904,0.265125,0.105417073,0.003759922,0.382
4,0.093580281,0.093441025,0.330125,0.103188971,0.016153739,0.414125
5,0.108341457,0.108341457,0.35525,0.128672887,0.023255814,0.482375
6,0.11168361,0.11168361,0.383,0.106113355,0.019635148,0.433375
7,0.130343963,0.130343963,0.423875,0.13048322,0.012115304,0.504125
8,0.124634452,0.124634452,0.43125,0.145105139,0.018242585,0.5385
9,0.152764239,0.152624983,0.451875,0.161119621,0.021306225,0.566625
10,0.15847375,0.15847375,0.467375,0.09747946,0.013507868,0.392125
11,0.192313048,0.192034536,0.502,0.14580142,0.020052917,0.557875
12,0.133686116,0.133686116,0.405875,0.153739034,0.016153739,0.5285
13,0.189806434,0.189806434,0.52975,0.182425846,0.020609943,0.611625
14,0.212087453,0.211948197,0.5165,0.189388665,0.018938866,0.5705
15,0.204706865,0.204706865,0.52625,0.227127141,0.025762429,0.612625
16,0.216682913,0.215986631,0.503,0.201782482,0.025205403,0.614375
17,0.211112658,0.210416377,0.5335,0.190224203,0.025066147,0.57575
18,0.243420137,0.242306086,0.576875,0.159030776,0.027154992,0.601875
19,0.159448545,0.159309288,0.50975,0.205542404,0.025623172,0.636625
20,0.283386715,0.282968946,0.576625,0.172120875,0.018381841,0.590875
21,0.265840412,0.26514413,0.579375,0.145662164,0.021445481,0.587
22,0.244534187,0.244116418,0.5555,0.210137864,0.02994012,0.63425
23,0.217657708,0.217239939,0.515875,0.248433366,0.040802117,0.669625
24,0.272942487,0.271967693,0.583125,0.243837906,0.036345913,0.683125
25,0.298983429,0.298565659,0.588625,0.217379195,0.038156246,0.656
26,0.229215987,0.228519705,0.553125,0.181033282,0.030636402,0.60425
27,0.272663974,0.271271411,0.58525,0.234925498,0.04261245,0.68825
28,0.333658265,0.331569419,0.608875,0.190084946,0.029243838,0.644625
29,0.326416934,0.325442139,0.61675,0.238267651,0.033143016,0.667625
30,0.307895836,0.307199554,0.597125,0.196212227,0.039409553,0.651375
31,0.328366523,0.328227266,0.6145,0.247458571,0.035788887,0.693375
32,0.30469294,0.303857402,0.615375,0.222253168,0.037320707,0.651375
33,0.285057791,0.282133408,0.593875,0.252750313,0.040802117,0.71525
34,0.337278931,0.335886367,0.621125,0.176577078,0.027572761,0.6335
35,0.314997911,0.313466091,0.61925,0.226848628,0.039827322,0.672875
36,0.360395488,0.35802813,0.639875,0.235900292,0.039409553,0.68175
37,0.270296616,0.269043309,0.5685,0.247319315,0.033421529,0.673
38,0.385740148,0.381701713,0.647875,0.194680407,0.04219468,0.6175
39,0.341317365,0.338392982,0.6415,0.241470547,0.034257067,0.679375
40,0.333936778,0.328923548,0.636375,0.256510235,0.043169475,0.69925
41,0.324606601,0.324049575,0.629125,0.277955717,0.042333937,0.702125
42,0.356774822,0.354546721,0.643875,0.26361231,0.040523604,0.697125
43,0.333101239,0.328923548,0.641625,0.224620526,0.037877733,0.660125
44,0.378498816,0.375156663,0.65,0.186046512,0.030775658,0.653625
45,0.364294667,0.363319872,0.6465,0.276006127,0.044422782,0.711
46,0.377524022,0.376131458,0.652,0.270714385,0.053056677,0.718625
47,0.237292856,0.233950703,0.577,0.268904052,0.045119064,0.697625
48,0.378638073,0.377106253,0.65675,0.280740844,0.040802117,0.706125
49,0.388386019,0.385600891,0.673,0.273638769,0.038574015,0.716
50,0.39562735,0.393120735,0.671375,0.293830943,0.052221139,0.7295
51,0.344938031,0.342431416,0.643875,0.197047765,0.035928144,0.668875
52,0.3453558,0.343127698,0.66125,0.296755327,0.048321961,0.733875
53,0.4098315,0.407324885,0.683,0.2448127,0.036902938,0.704625
54,0.434201365,0.43016293,0.690875,0.269321822,0.04414427,0.71775
55,0.37028269,0.366801281,0.666625,0.281854895,0.043447988,0.725125
56,0.421668291,0.418604651,0.690125,0.198858098,0.031332683,0.648
57,0.40523604,0.399665785,0.675,0.27628464,0.049018243,0.73225
58,0.384765353,0.3814232,0.67375,0.302604094,0.039966578,0.73025
59,0.441721209,0.43629021,0.703,0.275031333,0.046372372,0.71575
60,0.425149701,0.417769113,0.686,0.284082997,0.046511628,0.731375
61,0.408160423,0.403007938,0.67225,0.306642529,0.051664114,0.74775
62,0.409970756,0.404539758,0.678625,0.277120178,0.048182704,0.71925
63,0.433365827,0.429466648,0.69425,0.301350787,0.052360395,0.745125
64,0.437961287,0.436429467,0.70525,0.306364016,0.054588497,0.7415
65,0.387689737,0.384765353,0.6725,0.312769809,0.052081883,0.73675
66,0.344938031,0.344659518,0.62725,0.296894583,0.053056677,0.73125
67,0.423060855,0.417769113,0.689875,0.278512742,0.046511628,0.729125
68,0.429188135,0.424871188,0.697375,0.296755327,0.049714524,0.724875
69,0.458014204,0.454254282,0.71425,0.301072274,0.054727754,0.747125
70,0.457735691,0.451608411,0.714875,0.304275171,0.052638908,0.753
71,0.365130205,0.358306643,0.651625,0.269182565,0.039270297,0.734875
72,0.465394792,0.457317922,0.715375,0.254142877,0.043169475,0.720375
73,0.446038156,0.442556747,0.711125,0.333101239,0.053474446,0.7555
74,0.365269461,0.36262359,0.657875,0.297730121,0.04567609,0.7525
75,0.462609664,0.454115026,0.711125,0.325163626,0.049575268,0.7515
76,0.420136471,0.41595878,0.701625,0.311516502,0.044840551,0.756875
77,0.447569976,0.441024927,0.7065,0.314858655,0.054727754,0.7405
78,0.433644339,0.428352597,0.695,0.3016293,0.050410806,0.748125
79,0.4382398,0.432669545,0.70925,0.25442139,0.040523604,0.724125
80,0.434201365,0.424871188,0.7055,0.330733881,0.054309985,0.747625
81,0.436986492,0.43322657,0.705375,0.329062805,0.056677343,0.75775
82,0.450633617,0.446595182,0.711125,0.33574711,0.049993037,0.763625
83,0.468040663,0.46316669,0.72675,0.31541568,0.049296755,0.761125
84,0.376270714,0.371535998,0.67325,0.305249965,0.046650884,0.745375
85,0.466787356,0.461217101,0.7215,0.32961983,0.060019496,0.76075
86,0.457317922,0.452722462,0.714375,0.329480574,0.053613703,0.7545
87,0.466369586,0.456900153,0.72,0.311516502,0.044979808,0.749625
88,0.488650606,0.479459685,0.7325,0.33922852,0.051385601,0.7545
89,0.471939841,0.464837766,0.7155,0.306364016,0.045815346,0.741625
90,0.420136471,0.416098037,0.700875,0.320568166,0.044422782,0.759625
91,0.424731932,0.412477371,0.697125,0.312073527,0.052778165,0.736
92,0.467483637,0.460799332,0.717875,0.322657012,0.05333519,0.7645
93,0.453279488,0.447012951,0.71025,0.312212784,0.046511628,0.760625
94,0.47277538,0.461774126,0.713125,0.297451608,0.047625679,0.736
95,0.464419997,0.459963793,0.70825,0.31082022,0.047904192,0.7445
96,0.436429467,0.430580699,0.700875,0.32042891,0.051385601,0.758375
97,0.487118786,0.475142738,0.729375,0.32808801,0.052638908,0.73925
98,0.489207631,0.482941095,0.727,0.318061551,0.047486423,0.753625
99,0.476674558,0.468597688,0.719375,0.319454115,0.042473193,0.760375
100,0.454672051,0.444924105,0.70775,0.322099986,0.05486701,0.735375
