Epoch,BM-TA,BM-TCA,BM-SA,AM-TA,AM-TCA,AM-SA
1,0.150583009,0.150583009,0.4997,0.138811771,0.138367574,0.4666
2,0.287729039,0.282509717,0.5953,0.286063298,0.278622987,0.5725
3,0.280288729,0.277512493,0.6361,0.332815103,0.322820655,0.611
4,0.384564131,0.382454192,0.7152,0.412881732,0.403442532,0.6737
5,0.41898945,0.417878956,0.7324,0.222098834,0.218878401,0.5151
6,0.517934481,0.511382565,0.7741,0.446640755,0.435091616,0.6854
7,0.430649639,0.4285397,0.7607,0.4952804,0.480732926,0.726
8,0.443975569,0.440533037,0.7567,0.522154359,0.504941699,0.7422
9,0.498389784,0.4952804,0.7798,0.552803998,0.535036091,0.766
10,0.555913382,0.549805664,0.8118,0.509494725,0.488506385,0.7414
11,0.588784009,0.580677401,0.81,0.582565242,0.566907274,0.7847
12,0.595780122,0.590227651,0.8129,0.606885064,0.593003887,0.7899
13,0.556579678,0.546363132,0.8186,0.585896724,0.571793448,0.7942
14,0.597112715,0.591893393,0.833,0.573459189,0.55813437,0.7786
15,0.604441977,0.600111049,0.8317,0.525152693,0.507606885,0.749
16,0.635424764,0.622654081,0.8428,0.600777346,0.583786785,0.7916
17,0.621654636,0.611549139,0.8425,0.624319822,0.613992227,0.804
18,0.623098279,0.614991671,0.8418,0.637423654,0.623986674,0.8144
19,0.614214325,0.608883953,0.8446,0.633647973,0.623653526,0.8094
20,0.589561355,0.582565242,0.8246,0.646418656,0.629761244,0.8178
21,0.65530261,0.651304831,0.853,0.661299278,0.645308162,0.8206
22,0.657745697,0.648861744,0.851,0.661077179,0.651749028,0.8189
23,0.58478623,0.581676846,0.835,0.647084953,0.638423098,0.8171
24,0.633981122,0.630316491,0.8487,0.679622432,0.664963909,0.8346
25,0.594780677,0.592004442,0.8368,0.647529151,0.632870627,0.8223
26,0.621543587,0.61898945,0.8454,0.66851749,0.652748473,0.8306
27,0.635313715,0.628206552,0.8476,0.693836757,0.681621322,0.8401
28,0.645308162,0.636757357,0.8512,0.669627985,0.647862299,0.8365
29,0.679400333,0.667073848,0.865,0.716490838,0.703053859,0.8474
30,0.68961688,0.684730705,0.8707,0.580566352,0.565907829,0.7801
31,0.663076069,0.658078845,0.8491,0.679733481,0.665630205,0.8364
32,0.700721821,0.690949473,0.8727,0.701832315,0.687729039,0.8455
33,0.666851749,0.665963354,0.8628,0.707495836,0.697612438,0.8482
34,0.699500278,0.696501943,0.867,0.703387007,0.694169906,0.847
35,0.683398112,0.675513604,0.8679,0.70483065,0.694947252,0.8431
36,0.671515825,0.667184897,0.8681,0.717934481,0.705719045,0.858
37,0.675735702,0.665852304,0.8645,0.698833981,0.686396446,0.8481
38,0.669516935,0.662520822,0.8601,0.719156024,0.704053304,0.8553
39,0.614991671,0.611327041,0.8498,0.714714048,0.700721821,0.8497
40,0.691060522,0.678734037,0.8651,0.730816213,0.720488617,0.8605
41,0.695835647,0.691282621,0.8751,0.725485841,0.713492504,0.858
42,0.703942254,0.698278734,0.8721,0.731260411,0.720266519,0.8573
43,0.692837313,0.688062188,0.8672,0.731926707,0.721488062,0.8619
44,0.689283731,0.680177679,0.8642,0.675291505,0.663520267,0.8307
45,0.705719045,0.696168795,0.8769,0.743697946,0.733703498,0.8666
46,0.683953359,0.674736258,0.8688,0.728151027,0.71615769,0.8613
47,0.677623543,0.665186008,0.8587,0.74280955,0.732037757,0.8708
48,0.692504164,0.682398667,0.8705,0.741254858,0.728595225,0.865
49,0.689283731,0.67806774,0.8627,0.736812882,0.720155469,0.8675
50,0.676068851,0.667740144,0.8694,0.738700722,0.727817879,0.8666
51,0.705830094,0.696501943,0.8721,0.730594114,0.71615769,0.8609
52,0.687062743,0.673514714,0.8682,0.751804553,0.740033315,0.8742
53,0.694169906,0.677623543,0.8685,0.742365353,0.727928928,0.8648
54,0.702609661,0.689950028,0.8729,0.739700167,0.726041088,0.8692
55,0.695835647,0.682842865,0.8682,0.758467518,0.749361466,0.8766
56,0.709716824,0.694503054,0.8751,0.745696835,0.7332593,0.8717
57,0.663076069,0.651637979,0.8632,0.76390894,0.750138812,0.8796
58,0.711493615,0.698833981,0.8716,0.755469184,0.743142699,0.8727
59,0.703942254,0.697390339,0.872,0.762576347,0.74669628,0.8768
60,0.66851749,0.660077735,0.8631,0.751693504,0.737257079,0.8754
61,0.702609661,0.692615214,0.8724,0.747806774,0.732037757,0.8717
62,0.697723487,0.689394781,0.8719,0.76757357,0.754580789,0.8791
63,0.711493615,0.700610772,0.8739,0.761576902,0.751582454,0.8765
64,0.716379789,0.70660744,0.872,0.757690172,0.747695725,0.8739
65,0.717934481,0.702498612,0.8774,0.762465297,0.749472515,0.8762
66,0.700055525,0.692837313,0.8652,0.743920044,0.727262632,0.8697
67,0.684730705,0.671404775,0.8689,0.745252637,0.731149362,0.8684
68,0.54103276,0.540699611,0.8262,0.75424764,0.743586896,0.8705
69,0.693836757,0.684841755,0.8625,0.76191005,0.751693504,0.8743
70,0.678400888,0.671737923,0.8663,0.758911716,0.748362021,0.8775
71,0.718600777,0.710716269,0.875,0.76568573,0.749250416,0.8795
72,0.718711827,0.707940033,0.875,0.768461966,0.75424764,0.8768
73,0.716823987,0.705496946,0.8749,0.764242088,0.756024431,0.8781
74,0.67817879,0.666962798,0.8677,0.759911161,0.748473071,0.8798
75,0.710716269,0.702054414,0.8718,0.770682954,0.759466963,0.8778
76,0.72193226,0.703720156,0.8787,0.743364797,0.729816769,0.8694
77,0.715602443,0.701721266,0.874,0.765352582,0.753248195,0.8753
78,0.672737368,0.65719045,0.8661,0.760466408,0.749583565,0.8776
79,0.703831205,0.678622987,0.8735,0.768350916,0.755136036,0.8857
80,0.694503054,0.679400333,0.8617,0.728706274,0.715380344,0.8642
81,0.722709606,0.719711272,0.8757,0.771016102,0.758689617,0.8774
82,0.700499722,0.689172682,0.8734,0.773570239,0.756579678,0.8808
83,0.670849528,0.654081066,0.8606,0.771127152,0.758467518,0.8819
84,0.71238201,0.695058301,0.868,0.771682399,0.760466408,0.8831
85,0.712159911,0.698278734,0.8763,0.778456413,0.762798445,0.8846
86,0.721043865,0.707495836,0.8808,0.763020544,0.749694614,0.8745
87,0.678956136,0.669961133,0.8658,0.770016657,0.758911716,0.8819
