epoch,BM-TA,BM-TCA,BM-SA,AM-TA,AM-TCA,AM-SA
1,58.06271621,57.91764312,84.14,54.31313469,52.21515456,79.47
2,73.16147751,72.80437451,87.7,65.94130119,64.579846,83.41
3,75.57192278,75.15902243,89.54,72.0566901,71.08581632,85.02
4,74.77960049,74.29974333,89.61,73.44046423,72.31335788,86.82
5,78.78584979,78.74121192,90.61,57.90648365,57.06952349,75.37
6,77.87077335,77.69222185,89.85,73.02756389,71.93393594,85.46
7,73.60785627,73.20611539,89.87,70.71755384,69.13290927,85.7
8,79.73440464,79.60049102,91.41,77.2458431,76.49815869,88.24
9,82.07789309,81.62035487,91.87,79.60049102,78.40642785,88.68
10,79.54469367,78.88628501,91.7,81.65383328,81.05122196,90.41
11,83.69601607,83.29427519,92.27,83.49514563,82.88137485,91.17
12,80.64948108,80.24774021,91.17,83.70717554,83.03760741,91.27
13,83.85224863,83.19383997,92.27,84.17587323,83.48398616,91.6
14,83.10456422,82.50195291,91.98,85.01283339,84.48833836,92.33
15,84.45485995,83.95268385,92.16,85.31413905,84.61109251,92.23
16,79.1764312,78.79700926,90.03,85.38109586,84.81196295,92.35
17,85.02399286,84.35442473,92.64,84.73384667,83.79645129,91.58
18,82.20064725,81.73194956,92.78,84.81196295,84.12007588,92.07
19,84.70036826,84.3655842,92.48,85.57080683,85.09094967,92.5
20,83.55094298,82.90369378,92.46,86.25153443,85.49269055,92.63
21,84.26514898,83.61789979,92.44,85.44805267,84.68920879,92.4
22,85.72703939,85.28066064,93.01,86.74255105,86.09530186,92.56
23,83.71833501,83.27195625,93,86.48588327,85.92790983,92.8
24,84.55529517,84.17587323,92.74,86.35196965,85.63776364,92.65
25,84.16471376,83.90804598,92.25,86.99921884,86.20689655,93.18
26,85.19138489,84.71152773,93.18,87.42327865,86.57515902,93.26
27,85.90559089,85.55964736,93.03,86.90994309,86.20689655,93.03
28,85.67124205,85.21370383,92.84,87.02153777,86.48588327,93.34
29,84.81196295,84.41022207,92.81,87.07733512,86.30733177,93.14
30,84.33210579,83.93036491,93.04,87.20008928,86.68675371,93.3
31,85.32529852,84.89007923,93.17,86.92110256,86.19573708,93.03
32,85.45921214,85.10210914,93.32,87.479076,86.83182681,93.19
33,85.39225533,84.66688986,93.09,87.26704609,86.75371052,93.31
34,85.70472046,85.18022542,93.06,87.44559759,86.74255105,93.31
35,84.58877357,84.26514898,92.43,88.44994978,87.8696574,93.72
36,84.87891976,84.42138154,93.28,87.89197634,87.07733512,93.62
37,85.2583417,84.58877357,92.88,87.62414909,86.6532753,93.44
38,85.51500949,84.81196295,92.67,88.05936837,87.08849459,93.42
39,86.13993974,85.55964736,93.2,87.80270059,87.01037831,93.41
40,84.84544136,84.52181676,92.82,88.08168731,87.25588662,93.69
41,85.82747461,85.36993639,93.04,86.90994309,86.1176208,93.14
42,85.29182011,84.57761411,92.79,87.82501953,87.08849459,93.32
43,84.47717889,83.66253766,92.82,88.63966075,87.81386006,93.95
44,85.68240152,85.00167392,92.97,88.21560094,87.44559759,93.72
45,84.74500614,83.8634081,93.21,88.41647138,87.52371387,93.76
46,85.6154447,84.9012387,93.18,88.44994978,87.64646803,93.96
47,85.95022877,85.26950117,93.08,87.03269724,86.32965071,93.01
48,85.18022542,84.44370048,93,88.26023881,87.55719228,93.72
49,86.10646133,85.2248633,93.12,87.28936503,86.19573708,93.42
50,86.4747238,85.68240152,93.4,88.23791988,87.5125544,93.93
51,86.38544805,85.82747461,93.3,88.6954581,87.74690325,94.02
52,85.35877692,84.52181676,92.79,88.71777703,87.836179,94.06
53,86.16225868,85.26950117,93.05,88.91864747,88.15980359,94.16
54,85.92790983,85.01283339,93.18,88.8740096,87.70226537,94.05
55,85.80515567,84.97935498,93.04,87.79154112,87.20008928,93.68
56,86.57515902,85.74935833,93.28,88.47226872,87.57951122,93.92
57,85.31413905,84.46601942,92.93,88.74009597,87.6576275,93.98
58,86.28501283,85.21370383,93.2,88.27139828,87.44559759,93.65
59,83.12688316,82.30108247,92.18,88.74009597,87.74690325,93.76
