Epoch,BM-TA,BM-TCA,BM-SA,AM-TA,AM-TCA,AM-SA
1,0.870917574,0.870695401,0.9851,0.958009331,0.953565874,0.9789
2,0.953565874,0.9508998,0.9901,0.982559431,0.980337703,0.9904
3,0.967229505,0.965785381,0.9916,0.982781604,0.981226394,0.99
4,0.929237947,0.928793601,0.9898,0.973339258,0.970673184,0.987
5,0.972228394,0.970339925,0.992,0.976449678,0.976116419,0.9884
6,0.973783604,0.972783826,0.9917,0.982115086,0.979782271,0.9904
7,0.977782715,0.976782937,0.9928,0.987447234,0.986669629,0.9931
8,0.977893801,0.975560986,0.9929,0.991446345,0.990335481,0.9953
9,0.979893357,0.976227505,0.9918,0.988224839,0.986891802,0.9934
10,0.97856032,0.975338814,0.9917,0.991668518,0.990002222,0.9952
11,0.981115308,0.979226839,0.9934,0.990113308,0.989002444,0.9939
12,0.983337036,0.981226394,0.9929,0.988002666,0.987225061,0.9933
13,0.980559876,0.976894024,0.9917,0.994223506,0.993668074,0.9964
14,0.982226172,0.979449011,0.9913,0.987447234,0.985892024,0.9925
15,0.979115752,0.975783159,0.9917,0.98944679,0.988558098,0.9942
16,0.984114641,0.980670962,0.9923,0.991113086,0.990890913,0.9946
17,0.980226616,0.974783382,0.9918,0.990002222,0.988335925,0.9945
18,0.975005554,0.971561875,0.9914,0.991446345,0.990779827,0.9951
19,0.981004221,0.978449234,0.9911,0.988002666,0.987225061,0.9936
20,0.969340147,0.96489669,0.9924,0.990446567,0.989557876,0.9942
21,0.982892691,0.978227061,0.9923,0.989668963,0.988224839,0.9945
22,0.981781826,0.976894024,0.9924,0.992668296,0.992001777,0.9958
23,0.982226172,0.976671851,0.9922,0.99066874,0.990002222,0.9949
24,0.979893357,0.975560986,0.9923,0.992001777,0.991224172,0.995
25,0.979337925,0.974005777,0.9913,0.991224172,0.990335481,0.995
26,0.979115752,0.975894246,0.9912,0.991557432,0.990779827,0.9953
27,0.983892468,0.977227283,0.9928,0.990890913,0.990113308,0.9944
28,0.979449011,0.974450122,0.9928,0.990890913,0.990335481,0.9948
29,0.979671184,0.973450344,0.9917,0.99222395,0.991335259,0.9953
30,0.978893579,0.9754499,0.9913,0.992446123,0.991779605,0.9957
31,0.981226394,0.976449678,0.9924,0.991446345,0.990890913,0.9952
32,0.980448789,0.975227727,0.991,0.992001777,0.991002,0.9947
33,0.98011553,0.971450789,0.9927,0.992335037,0.991779605,0.9959
34,0.983114863,0.974783382,0.9923,0.989002444,0.988335925,0.9937
35,0.97856032,0.974783382,0.9913,0.992668296,0.991446345,0.9957
36,0.977449456,0.971339702,0.9907,0.991335259,0.990113308,0.9952
37,0.979782271,0.964452344,0.9921,0.991335259,0.990779827,0.9952
38,0.977671629,0.968340369,0.9892,0.988669185,0.988113753,0.9935
39,0.977338369,0.966562986,0.9905,0.99255721,0.992001777,0.9957
40,0.977671629,0.968229282,0.9913,0.99066874,0.990335481,0.9954
41,0.977782715,0.971339702,0.9905,0.991890691,0.990002222,0.9951
42,0.978115974,0.971006443,0.9918,0.99222395,0.991557432,0.9955
43,0.978227061,0.962119529,0.991,0.989002444,0.987780493,0.9935
44,0.979893357,0.972783826,0.9912,0.990335481,0.989335703,0.9949
45,0.976116419,0.966007554,0.9912,0.992335037,0.991668518,0.9953
46,0.976894024,0.969340147,0.9916,0.993334815,0.991890691,0.9961
47,0.979671184,0.968784715,0.9916,0.991335259,0.990557654,0.9953
48,0.976560764,0.967451677,0.9907,0.99255721,0.991224172,0.9953
49,0.980337703,0.972228394,0.9915,0.989002444,0.988224839,0.9941
50,0.980337703,0.96956232,0.9915,0.990779827,0.990557654,0.9949
51,0.975672073,0.961564097,0.9908,0.989780049,0.98911353,0.994
52,0.977116196,0.966007554,0.9907,0.992779382,0.992001777,0.9954
53,0.978115974,0.969006887,0.9902,0.98944679,0.988669185,0.994
54,0.979560098,0.971784048,0.9908,0.991446345,0.990779827,0.995
55,0.980226616,0.971228616,0.9916,0.992446123,0.991779605,0.9958
56,0.979337925,0.970895357,0.9911,0.991113086,0.990335481,0.9946
57,0.97700511,0.967340591,0.991,0.994001333,0.993112642,0.9964
58,0.97856032,0.96611864,0.9918,0.991113086,0.99066874,0.9949
59,0.980670962,0.972117307,0.9912,0.99222395,0.991446345,0.9959
60,0.978893579,0.967896023,0.9918,0.99066874,0.990113308,0.996
61,0.977560542,0.970339925,0.9905,0.992668296,0.991002,0.9956
62,0.978782493,0.97078427,0.9912,0.988891358,0.987336148,0.9933
63,0.982003999,0.970339925,0.9916,0.993112642,0.992001777,0.9957
64,0.977671629,0.970673184,0.9906,0.992779382,0.991335259,0.9958
65,0.978338147,0.970895357,0.9911,0.989335703,0.988224839,0.9938
66,0.977560542,0.967896023,0.9919,0.990113308,0.989335703,0.9947
67,0.978671406,0.97389469,0.9914,0.989780049,0.987780493,0.9948
68,0.977338369,0.966674072,0.99,0.988891358,0.98789158,0.9948
69,0.978782493,0.969784492,0.9917,0.990446567,0.989780049,0.9951
70,0.979115752,0.963785825,0.9909,0.990335481,0.989002444,0.9945
71,0.973561431,0.96178627,0.9908,0.990335481,0.988335925,0.9945
72,0.981448567,0.971561875,0.9922,0.993890247,0.993334815,0.9963
73,0.978338147,0.971006443,0.9903,0.992446123,0.991113086,0.996
74,0.978115974,0.969340147,0.9908,0.991557432,0.990113308,0.9948
75,0.971450789,0.951455232,0.9889,0.990335481,0.989891135,0.9946
76,0.978115974,0.97078427,0.9912,0.992112864,0.991446345,0.9951
77,0.97700511,0.96922906,0.992,0.990446567,0.989224617,0.9955
78,0.975894246,0.96767385,0.99,0.992446123,0.990446567,0.9957
79,0.977338369,0.965896468,0.9905,0.992335037,0.991446345,0.9951
80,0.977449456,0.964341258,0.9909,0.993890247,0.992890469,0.9965
81,0.968895801,0.957009553,0.9903,0.99066874,0.990002222,0.9947
82,0.977227283,0.96767385,0.9901,0.993334815,0.99255721,0.996
83,0.977560542,0.966896245,0.991,0.992001777,0.991557432,0.9964
84,0.973005999,0.965896468,0.99,0.990224395,0.989557876,0.9951
