Epoch,BM-TA,BM-TCA,BM-SA,AM-TA,AM-TCA,AM-SA
1,6.517198162,6.517198162,24.6375,6.252611057,6.252611057,24.775
2,5.528477928,5.528477928,24.5625,6.67038017,6.614677622,27.8875
3,6.893190363,6.893190363,26.5125,5.556329202,5.417072831,23.6125
4,9.35802813,9.344102493,33.0125,7.269182565,7.213480017,31.125
5,10.83414566,10.83414566,35.525,7.464141484,7.310959476,30.6125
6,11.16836095,11.16836095,38.3,8.285754073,8.174348976,32.125
7,13.03439632,13.03439632,42.3875,8.564266815,8.522489904,36.5375
8,12.4634452,12.4634452,43.125,10.31889709,10.26319454,37.4375
9,15.2764239,15.26249826,45.1875,10.77844311,10.69488929,38.1375
10,15.84737502,15.84737502,46.7375,10.06823562,10.05430998,35.975
11,19.23130483,19.20345356,50.2,12.58877594,12.40774265,38.4625
12,13.36861161,13.36861161,40.5875,14.14844729,14.12059602,42.0625
13,18.98064336,18.98064336,52.975,9.831499791,9.566912686,34.8125
14,21.2087453,21.19481966,51.65,15.93092884,15.31820081,46.45
15,20.47068653,20.47068653,52.625,12.64447848,12.58877594,41.2125
16,21.66829132,21.59866314,50.3,16.27906977,16.04233394,46.8125
17,21.11126584,21.04163765,53.35,13.09009887,13.07617323,41.3625
18,24.34201365,24.23060855,57.6875,19.2173792,18.89708954,51.6125
19,15.94485448,15.93092884,50.975,20.80490182,20.3453558,52.425
20,28.33867149,28.29689458,57.6625,16.55758251,16.48795432,48.4
21,26.58404122,26.51441303,57.9375,22.08606044,21.65436569,54.7375
22,24.45341874,24.41164183,55.55,20.3453558,20.12254561,52.9625
23,21.76577078,21.72399387,51.5875,26.80685141,26.51441303,57.4125
24,27.29424871,27.19676925,58.3125,22.37849882,22.12783735,53.2
25,29.89834285,29.85656594,58.8625,26.57011558,26.19412338,57.7
26,22.92159866,22.85197048,55.3125,23.97994708,23.88246762,56.4125
27,27.26639744,27.12714107,58.525,28.51970478,28.19941512,59.875
28,33.36582649,33.15694193,60.8875,29.28561482,28.56148169,60.0125
29,32.64169336,32.5442139,61.675,30.5946247,30.28826069,62.2125
30,30.78958362,30.71995544,59.7125,30.84528617,29.99582231,61.7
31,32.83665228,32.82272664,61.45,31.76437822,31.49979112,62.025
32,30.46929397,30.38574015,61.5375,36.22058209,35.56607715,64.2375
33,28.50577914,28.21334076,59.3875,35.21793622,34.73053892,63.3125
34,33.72789305,33.58863668,62.1125,35.69140788,35.19008495,65.3125
35,31.49979112,31.34660911,61.925,35.25971313,34.93942348,64.7125
36,36.03954881,35.80281298,63.9875,34.99512603,34.63305946,64.5125
37,27.02966161,26.90433087,56.85,36.20665645,35.73318479,65.1625
38,38.57401476,38.17017129,64.7875,38.65756858,38.11446874,64.7
39,34.13173653,33.83929815,64.15,38.92215569,37.97521237,65.3125
40,33.39367776,32.89235483,63.6375,34.98120039,34.67483637,63.575
41,32.46066008,32.40495753,62.9125,34.88372093,34.41024927,65.4
42,35.67748224,35.45467205,64.3875,29.8426403,29.21598663,56.9625
43,33.31012394,32.89235483,64.1625,31.26305528,30.20470687,59.3625
44,37.84988163,37.51566634,65,33.22657012,32.82272664,61.5625
