Epoch,BM-TA,BM-TCA,BM-SA,AM-TA,AM-TCA,AM-SA
1,8.200873362,8.174672489,37.30408728,46.33624454,45.930131,81.95298095
2,43.27074236,43.23580786,81.51505839,63.56768559,62.79475983,91.38368162
3,56.63755459,56.51091703,86.51659496,60.96069869,59.98253275,82.62907191
4,58.31441048,58.12227074,87.76505839,73.34497817,72.84279476,90.95344192
5,65.00436681,64.77729258,90.03534112,77.38864629,76.61572052,94.52596804
6,64.02183406,63.78165939,90.75752919,81.2139738,80.86462882,94.97157345
7,66.58951965,66.49344978,90.94191764,76.41921397,76.11790393,94.50676091
8,67.34497817,66.88646288,91.80623848,82.01310044,81.75982533,95.45943454
9,67.47598253,67.36681223,91.50660725,75.52838428,75.08296943,95.20974186
10,70.89956332,70.45851528,92.14428396,82.33624454,81.93886463,95.20974186
11,69.24454148,68.95633188,91.97526122,82.57641921,82.27074236,95.35187462
12,69.30131004,69.03056769,92.18269822,81.62882096,81.41048035,95.76290719
13,70.72925764,70.02183406,92.28641672,81.97379913,81.70742358,94.86785495
14,69.95196507,68.82969432,92.31714813,83.8209607,83.58515284,95.61309158
15,71.3231441,70.98689956,92.61293792,83.46724891,83.22270742,95.52473878
16,71.08733624,70.50655022,92.38629379,83.41048035,83.18340611,95.62461586
17,72.55895197,71.77292576,92.83958205,83.80786026,83.38864629,96.07790412
18,73.41048035,72.83842795,92.75891211,82.95633188,82.65502183,95.88583282
19,70.08296943,69.81659389,92.40550092,84.2139738,83.84716157,96.11247695
20,72.40611354,72.01746725,92.71665642,83.09170306,82.80349345,95.65918869
21,73.22270742,71.84279476,92.7435464,85.45414847,85.1790393,96.06637984
22,73.70305677,72.38427948,93.27750461,84.66812227,84.2139738,95.98955132
23,74.31004367,73.38427948,93.26213891,85.38864629,85.07423581,96.23156116
24,71.53275109,71.12663755,92.73586355,82.95633188,82.56331878,95.83589428
25,71.71615721,70.87336245,92.70513215,84.57641921,84.22707424,96.07406269
26,71.17467249,70.10043668,92.50153657,85.75545852,85.3231441,96.34296251
27,71.79475983,70.79912664,92.53226798,85.26200873,84.72925764,96.16625691
28,74.89956332,74.13973799,93.13537185,84.49781659,84.24454148,95.95497849
29,73.53275109,71.72489083,92.96250768,84.45414847,84.0349345,96.18162262
30,74.16157205,72.6419214,93.18531039,84.47598253,84.2139738,95.85894284
31,73.72052402,72.69432314,93.18146896,83.83406114,83.44541485,95.93577136
32,75.5720524,74.00873362,93.31207744,83.96069869,83.5720524,95.99339275
33,75.01746725,72.90829694,92.85494776,83.41921397,83.00436681,95.92808851
34,73.50218341,71.45414847,93.00860479,85.47598253,85.10043668,96.42747388
35,73.38864629,71.86026201,93.40043024,83.12227074,82.65065502,96.0010756
36,74.10480349,72.7510917,93.26598033,84.42358079,84.10480349,96.14320836
37,74.94759825,74.24017467,93.29287031,83.49344978,82.95633188,96.02412415
38,74.12663755,73.04803493,93.36585741,84.60262009,84.01746725,95.74370006
39,70.89956332,69.36681223,93.17378611,85.3930131,84.75545852,96.09326982
40,74.48034934,72.08733624,93.28518746,84.5371179,83.76419214,96.27381684
41,74.28820961,72.01746725,93.34280885,84.18777293,83.59825328,96.04333128
42,74.30131004,72.99126638,93.19683467,84.18340611,83.58951965,95.86662569
43,74.3231441,73.23144105,93.29671174,84.06113537,83.51528384,95.85894284
44,74.36681223,72.62882096,93.29671174,83.04366812,82.38427948,96.09326982
45,73.32751092,72.1790393,93.05854333,84.7860262,84.39737991,96.15857406
46,72.68558952,71.61135371,93.05470191,84.80349345,84.17467249,96.02796558
47,74.33624454,72.2139738,93.39658881,83.6069869,83.13100437,96.21619545
48,74.67248908,73.02183406,93.34665028,83.1790393,82.79039301,96.26997541
49,74.53275109,72.89519651,93.28518746,84.47598253,83.97816594,96.47741242
50,74.36244541,72.65502183,93.56945298,84.45414847,84.03930131,96.2238783
51,75.09606987,73.33187773,93.38506454,83.28384279,82.78165939,95.91656423
52,75.76419214,73.75982533,93.33896742,83.1441048,82.68995633,96.15857406
53,74.30567686,72.59825328,93.10464044,83.21834061,82.65065502,96.20467117
54,74.68122271,72.38864629,93.25829748,84.03930131,83.49781659,96.20082975
55,74.21834061,71.80786026,93.22372465,82.50218341,81.85152838,96.14704978
56,74.77292576,72.90393013,93.33896742,84.89956332,84.23580786,96.34296251
57,73.65065502,71.36244541,93.1430547,83.57641921,82.73362445,96.31991395
58,74.86026201,72.3580786,93.46573448,84.34497817,83.79912664,96.07790412
59,74.72489083,72.91266376,93.49262446,82.9650655,82.47161572,96.21235403
60,75.37554585,73.12663755,93.39274739,83.41921397,82.65938865,95.73217578
61,75.30131004,72.59388646,93.40427167,84.12663755,83.55021834,95.87430854
62,74.44541485,71.38427948,93.19299324,82.90829694,82.30131004,96.02028273
63,73.51528384,71.43668122,93.10079902,82.20960699,81.75982533,96.1047941
64,75.08733624,73.17467249,92.8472649,82.69868996,82.30131004,96.0010756
65,75.28820961,73.58078603,93.19683467,83.38864629,82.77729258,96.13168408
66,74.80786026,72.8558952,93.37738168,82.70742358,81.94323144,96.03180701
67,74.02183406,72.01746725,93.22372465,82.41921397,81.85152838,95.83589428
68,74.36244541,73.0349345,93.38506454,84.01746725,83.47161572,96.30070682
69,74.20524017,71.48908297,93.26213891,83.93886463,83.22270742,96.30070682
70,73.23144105,71.51091703,93.27366318,81.84716157,80.97816594,95.94729564
71,75.04366812,72.41921397,93.44652735,84.16593886,83.35371179,95.9857099
72,73.56331878,70.89519651,93.07775046,83.96069869,83.41048035,95.94729564
73,74.930131,72.55021834,93.127689,83.45414847,82.94323144,96.18930547
74,74.55895197,72.47161572,93.39274739,83.51965066,82.84716157,96.11247695
75,74.69432314,72.73362445,93.67317148,84.11353712,83.4628821,96.18546404
76,73.83406114,71.90393013,93.39274739,84.65938865,83.6419214,96.24308543
77,73.88646288,71.73799127,93.0393362,83.38864629,82.45414847,95.93192993
78,73.28384279,71.62445415,92.81269207,83.97379913,83.27074236,96.39290104
79,75.19650655,73.41484716,93.27750461,83.89519651,83.41048035,96.34296251
80,75.98253275,73.38864629,93.54640443,84.15283843,83.14847162,96.30838967
81,74.09170306,71.45414847,93.21220037,84.79912664,84.12227074,96.14320836
